Angle,Power_Level,Beam_0,Beam_1,Beam_2,Beam_3,Beam_4,Beam_5,Beam_6,Beam_7,Beam_8,Beam_9,Beam_10,Beam_11,Beam_12,Beam_13,Beam_14,Beam_15,Beam_16,Beam_17,Beam_18,Beam_19,Beam_20,Beam_21,Beam_22,Beam_23,Beam_24,Beam_25,Beam_26,Beam_27,Beam_28,Beam_29,Beam_30,Beam_31,Beam_32,Beam_33,Beam_34,Beam_35,Beam_36,Beam_37,Beam_38,Beam_39,Beam_40,Beam_41,Beam_42,Beam_43,Beam_44,Beam_45,Beam_46,Beam_47,Beam_48,Beam_49,Beam_50,Beam_51,Beam_52,Beam_53,Beam_54,Beam_55,Beam_56,Beam_57,Beam_58,Beam_59,Beam_60,Beam_61,Beam_62
-45.0,316,12015.782658033164,14988.401440358966,14524.747447656377,14914.419699744709,14176.635056069412,15011.732058592926,13714.637057510015,12637.733494804565,12198.57163821536,12765.254677152134,12606.244430535651,12873.327343398703,11863.279131263049,12321.166547979608,12880.591433960612,12873.894290829146,12392.645663291922,12997.17077599105,12666.393252671302,12696.61389863908,13131.717724204062,12911.02067631268,13123.746092921969,12861.930382630311,12308.506263079224,13893.178901685558,11691.848686505928,13147.761481275076,12549.17617949249,12045.861592327048,11817.930012511006,12265.910056550088,12534.221697567564,12318.74901211832,12138.10730442659,12107.45746262532,12945.775500191436,12805.356289084511,13032.558974136398,12632.34176813226,12981.250333949887,12779.106255332395,12909.887531238604,12257.409778986605,12027.85157947608,12557.56556578564,12693.925293577258,12513.434745681385,11782.540079839053,11809.339511579765,12530.969416814294,12426.746804644588,12011.710085085397,12287.786085974583,12902.377443143869,13045.297816965736,11922.624369148594,12165.257126808125,11792.145881559136,12214.20232049099,12370.38746421782,12417.393458524864,12080.541430542153
-45.0,1778,13149.938652739838,68434.8432277263,73605.73283370156,72682.66576417748,47877.75633743584,51391.11381429041,23339.06518197952,15684.486473062783,13956.811597316197,12912.542290612131,16492.74649588071,16914.62177147209,14441.248157152177,12812.284258626709,18384.94253930384,17684.182918012724,15754.452709975363,17569.194328829046,21249.602550659936,14033.882863012772,14023.208619314972,13798.378485092368,15386.757005125097,12586.965089140913,15183.86052463829,12386.334346643584,13231.436660452766,18426.338022937347,15881.974409854116,13966.791747032728,13465.753458551062,16675.08967076923,13449.87836777371,14531.291895093264,12704.992153970034,14816.35382236672,18712.3651633343,12674.093601871273,14525.788772789729,13559.80495689312,13452.572296406048,19435.19585787164,12637.588267858144,12774.37299283136,19690.99472754055,15626.961904126858,11830.11304955668,13054.091386911416,13547.371688323175,13656.44230242593,14454.916808153768,13172.619971063286,13064.75326015905,15699.481651491216,13503.58864055073,15081.003302640347,14103.00786886322,14096.043508896111,13574.51697517169,13137.661228942805,16597.348518418683,16441.11214628289,13787.672746198252
-45.0,10000,22961.1847968306,1578935.9207286253,1718782.3152898594,1679592.378768232,1009087.0154339834,1098754.576548715,299420.75927845587,87912.53350980335,55915.340105444586,13394.57584943088,116918.807187916,139514.91240574382,51954.57040722708,22243.955224075624,180142.98420466064,157437.94965533237,106719.2486088573,160717.02790147264,230860.36001270692,34647.34028906174,49094.06932496573,21158.35270116717,76094.81234403633,18750.223833759545,93089.59711317396,28338.681621457297,16542.059896334755,160364.5826772085,82464.73195439215,45433.1066751469,21591.154455881944,101855.8518158174,61931.30700829562,48295.9691715193,35935.94845218014,75639.90094122995,197797.9014377528,18470.916689199705,66357.1616215735,62457.295858104655,29108.33797019393,203706.2982748389,20523.23492791075,20097.628429200005,189315.14581184668,85767.09738531164,18727.06077565639,34094.212620415696,59905.32586038763,48606.7407888796,49293.64291739684,26189.52744902773,32873.747685720096,94145.7608216675,15783.66473081457,63043.06781428109,57944.51494862812,60634.816672473215,23731.086598744834,51505.48580299796,104565.012232994,131538.12074797525,38641.70837299494
-44.0,316,12851.82443618356,15319.135129118937,15671.854453190112,15485.955417272751,14814.120854358263,14346.725223733814,13374.895571188026,13001.640271486796,13668.332076502693,12429.50070621648,12990.04922673092,13834.693643733011,14236.34840458406,12792.17476899075,12884.195320153733,13445.518890010648,12706.209540235068,13560.845256857076,13726.069168887854,12020.170448998604,12699.959821507746,13365.592558466944,13989.532449251948,12913.2189988738,13606.193847073822,12796.306002473766,13369.066522500796,13376.419872153325,12753.022628419683,13233.757511730344,13094.073500646657,12423.268457042202,13304.978956147805,12728.28029954818,12734.680019392206,13706.388743110696,12123.75184289044,12628.478646450254,13611.900361481486,12978.498727737677,12383.840460241934,12521.823685490876,12059.032917598704,13178.546950858989,13360.943682740455,12455.546414349526,12631.280522542133,12777.977711991494,13020.998294396144,12875.126343569644,12317.802848949455,12928.99403971895,12352.450027919433,12309.801976880968,12153.53088165476,12305.049162542971,12272.572015842114,12453.939586423548,12067.608485750592,12777.033321333847,12696.307266172083,12766.7987159699,12689.703921612248
-44.0,1778,13876.709691660297,56731.20517836562,68488.67898652599,71842.14421648899,52454.4965090187,56004.24070641429,29298.9427873596,18421.42697835054,16808.64613297792,13195.7472786841,15466.305070245086,17128.638220974746,14469.64690247735,13482.394911738347,17576.209452152725,16128.334141208685,15198.678523122948,18009.70098864637,20065.32946470102,13532.613914461665,14438.445971427758,13556.697742687937,15716.973378064487,13526.31588815001,16227.701114602858,13817.576308273015,13750.660344926617,18506.917011881287,14766.02237096574,14763.010904633638,12600.374639441132,14555.696077105731,13674.538342743695,14893.478377729556,13304.424434295745,14666.679453251523,17676.327922303946,13450.276681614869,14897.318558449397,14224.701337914325,12728.849369066656,18844.47577697945,13152.919883237366,12319.497913526997,17544.423940371402,14237.102127626567,12645.333277167814,13979.41314043118,13447.77363997577,14238.42223077352,13599.200585968558,12577.681535469444,13969.570767267058,15455.829848366566,13616.823814991,14317.193029521148,13767.89870408962,13985.468931657517,12714.142206069584,15315.650642345863,15138.02572795541,15840.5316638627,13371.075009696697
-44.0,10000,14894.339703764475,1301474.185859338,1602363.3718590608,1608433.1647730144,1090622.3300259456,1258453.349339143,444369.2302203184,174192.0055308086,109208.8899057933,17656.280737075067,83718.54538129986,111115.82481488984,61157.588893292384,23451.899604813218,163254.97829605322,130257.16653920164,89902.3268082233,138459.2653110337,216266.8277139965,50011.08008643143,66505.77222694094,27320.37785754636,65442.06386414416,22608.477138376733,98743.65650128404,30392.869374846203,20268.26431085244,162160.34439874603,74171.22040055011,51057.527572036895,14642.711506492822,84335.79168002114,45583.99950746327,59720.67483817048,36690.9410009825,62924.26628046107,148672.55850633216,15831.306162879171,69613.69877800724,64106.42803447365,19012.50788872681,193998.37801075907,22923.472576774147,16749.51308702524,141295.36963191564,82614.43409488272,13710.079441360518,64562.76952838889,47279.0046915154,33534.744380455035,42348.17583501364,24279.38310341107,39097.40905806109,73302.31507722172,21783.75541543898,68154.80130472436,46868.24890508706,52522.16250943173,20439.537638584712,55177.6820165417,83243.32949004474,103543.52619335108,30702.88955266482
-43.0,316,13324.092948338242,15095.420118648932,14520.711417585962,15134.364510763471,14539.869978916602,15571.307872807289,13766.129325977165,13459.084294921537,13595.227714730694,13776.04875873277,12987.898873530305,12885.766190911398,11971.949488139906,13052.69052974257,12928.813817630182,12792.865885832807,12488.172063572092,13625.740902216912,12596.930414472776,13441.308142258236,13120.312696513556,13117.586137271464,14103.065325424035,13078.836621174314,13486.166930243957,12980.864189747692,13167.348169504108,13270.7741115505,13589.133649337997,12772.329699706355,13575.91920725198,12984.021241177305,12980.614108660457,12858.283755409311,12000.239989250009,13031.59743951172,13092.048479669036,13038.37796804294,12129.851375202265,13170.477212179572,13638.073385776996,12894.800728546825,13002.651576465028,13068.020561526871,13172.9067938037,12213.35098719419,12960.782682728852,12911.890818504457,12695.113726506688,13201.860708962737,12488.8510066187,12714.006857419285,12261.410417448553,12866.900107782218,13240.99643556844,12359.535822022634,12062.016832943997,12794.175128502611,13439.503319879585,13438.051986701705,13172.510358250069,12045.382531802825,11749.660232778786
-43.0,1778,12956.458035375505,51188.92536851154,67914.66748022259,68484.24701323258,59119.58775418837,60634.73922340632,34848.67825063183,24868.31535726228,19945.389591541207,14535.8041068194,13832.57491371476,14176.990680595663,14598.4002457752,12909.659802108126,16425.327039700547,15962.978684795677,14667.953824823166,15278.965083386309,18710.530479471963,13927.365384353625,15134.561023432258,13992.61317057021,15116.47296479276,13050.120442278156,15634.92609845482,13910.400992040431,13568.105607506192,17662.18739218422,15479.092994049406,13716.659172115864,13405.955247630453,14281.388706964588,14106.739402625582,15082.023391839277,13301.273064352106,14217.4629800091,16017.735486330586,12970.830589356236,14871.642978256466,14215.1863650475,12788.732832407895,19219.12382470041,13426.346108237492,13197.936100213788,16413.062992862582,14594.509643205702,12878.373086197227,14948.940770121952,14390.349386054648,12885.31456679696,14098.13188446586,13423.85236849247,13573.27746683908,13184.959864808516,13579.628168834506,14895.803937912886,13759.802292145803,14019.4187292117,12916.24126390897,15386.62079197856,14504.856683518618,15150.451834742673,12512.046870708224
-43.0,10000,14469.526409572063,1039340.093405808,1563686.0706681036,1551741.5512647529,1274092.7710929452,1360443.9414070507,635858.1936128351,333188.2406946047,245832.80775618492,57347.51039706392,32477.09350585228,62851.29119414868,54253.5918281452,21517.435028317886,119124.20847034433,101433.18466383412,80543.98103837612,113006.74545328514,197582.9283467889,73512.40640992174,88806.0097399689,32429.81745650091,62904.24393022892,29604.323137282536,113375.31467682682,38181.72152097778,29358.5408105558,149785.99403681362,73048.6358867565,50072.4042485454,14173.011457491542,61225.87189344295,36814.474331179255,55288.40155145833,32641.824915009038,51921.94312060907,113840.3887439956,17751.28945952902,69754.61076807737,68422.8149398787,14484.250550260858,188501.94378043248,24730.0059396328,17544.650834232867,92210.0761227232,79168.05995204819,13170.310961718324,86815.14738318324,48900.00538261599,28824.275849386853,54068.35198489114,38149.88171507164,57890.04819869367,36412.14477157689,38442.43389989624,79070.4553873159,45160.323762783046,47976.401687675694,19297.294364437454,81747.80714069157,58221.232633356645,89918.67572757123,25916.945313767592
-42.0,316,13164.061783575858,15124.99354420998,15297.650775641328,14835.890419749,15419.216905188394,14744.738318905958,13928.72447993335,13723.994340233896,13621.78639225783,13793.351993277449,13928.327937964652,12165.981830169803,13111.52223476405,13473.707756861972,12966.732238651271,14234.56034260298,13437.420881561022,12725.922092030763,13406.769199718052,12840.286450448391,12702.526618234548,12660.289973524204,14023.05249463442,13287.547603007326,12364.038489987744,12695.912897188628,13422.87067805785,13239.031565030187,13607.279531854798,12468.5597693729,12315.756355728452,13318.619791015572,12567.699343522372,12821.630603012693,12503.502674618976,13764.136426029632,13499.385465274914,13089.47961039465,13061.83056532689,12782.02710376605,12415.906566172458,13167.218105218437,13517.372640893667,12805.822365189137,13169.639068351658,12131.441744669944,13775.358401242996,12976.251847390173,12781.704554499682,13050.811774765512,12622.752205152632,12125.414752953842,12744.74604337167,12689.99500926774,12255.29396755187,13227.799296393028,12182.033074064144,13075.23956675144,12450.054744071243,13124.392512107488,12901.224304158968,12563.516876106802,13686.0782674625
-42.0,1778,13706.062389392362,42058.93593471832,65033.66904850917,63843.34818927672,61915.55762854461,63977.810667178186,39859.799907814784,31352.55404415344,27687.50855085445,16403.764409041258,13092.824111014528,14211.274729402345,14913.135994119835,13887.76056536186,16213.679130129816,14949.88542369152,13723.3200093621,15719.148277153872,18026.29226669272,15228.494379545304,17376.508992040388,14607.853953817796,14900.472642375107,13383.130225628056,16340.190552256903,14169.004184533413,13945.811243824246,16829.309142253012,13841.553535114715,14998.682205286024,13125.651074311358,13866.961426162428,13159.802568271054,14075.49308286077,13770.633374318655,13733.90900922662,15734.170199711523,14265.495099971042,15008.60581041687,13840.465306963142,12038.60771495948,19077.113914230154,13832.977056884696,12522.201813573643,14323.532579334556,14590.679173830074,13233.568769096531,16873.15704589792,13732.149625171443,13546.301278144523,13742.187926591178,13921.070357141434,14923.131307485568,13131.327535928714,14853.6116213101,14320.145922545293,12892.492888459812,13016.707552941034,12944.676207181812,15082.132441547514,14252.159159500832,14595.502375857744,12943.341505560782
-42.0,10000,21846.17647128439,823888.0849922888,1509253.0519481543,1495222.3866401522,1388662.950242084,1447885.7739072489,802892.891768144,516736.5616750791,402355.48144292063,124050.13572227897,14697.489111300869,34827.51671263389,55847.00926409853,27092.4529425468,109422.87120325242,68486.43815182311,67512.41639309138,81311.69136660195,173063.90302772267,86080.27027259578,139537.67395616858,37563.54550454492,43319.39284678472,32936.23025107428,117673.12811683575,56338.48079965165,43319.69509665483,144286.931058419,55674.68997742472,40024.88064071806,21272.88929462694,36147.00473110121,22380.595143532635,47177.84148959048,28127.03423300057,39211.90348964199,78754.95875530878,28347.60334212539,85618.086474048,67417.35987778033,14695.32027820338,194159.1217078216,32631.658853836205,22735.07193874603,56057.071945019496,68916.61772968035,20590.61901747859,123831.76909646305,39079.22122876452,21848.671954783797,44671.55234210924,39035.83129298004,83344.7938064726,34414.14711509406,80687.01207684918,44316.94412917449,31072.899072758984,22845.460908578105,37219.76268206638,80779.40552410905,53416.33585232576,54693.71542707879,30038.54822944377
-41.0,316,13928.203786789534,14111.0522147253,15255.362631740914,14835.003862977066,15083.961981981936,14572.116600525213,14073.214175562209,14509.961683605045,14240.009599492869,14107.181998546825,12538.845489000363,13183.570558116968,13529.321824723122,13181.358527434924,13958.623512084638,13110.858279187523,12753.940116749942,12576.932353389322,12988.467352508653,12975.081527936636,12640.96960928384,13149.037012897055,13271.571169949031,12951.68585961251,13700.139233898008,13863.811274884178,13336.289499141474,12769.432576205752,12673.389211075511,13093.111455470624,12796.354729388811,13218.72880613916,13015.665447478264,12513.22124064452,13284.69121579598,13165.866370495072,13330.49071106426,14096.58434459878,12263.65665647947,12560.773817545409,13254.351412341828,12863.395416323736,12927.797553373595,13386.635460555344,13151.432403407543,12056.02868625988,13570.001759980416,12451.461035872882,11988.64365277238,12287.944932577551,12691.53835258924,12324.764511095898,13014.072246051364,12532.689918028744,12660.237080876745,12907.216633124252,12279.892653650477,12175.930613625153,12516.203563355077,12664.064305083542,12928.311582619184,12428.233849630486,12820.929491855004
