Power_Level,Angle,Beam_0,Beam_1,Beam_2,Beam_3,Beam_4,Beam_5,Beam_6,Beam_7,Beam_8,Beam_9,Beam_10,Beam_11,Beam_12,Beam_13,Beam_14,Beam_15,Beam_16,Beam_17,Beam_18,Beam_19,Beam_20,Beam_21,Beam_22,Beam_23,Beam_24,Beam_25,Beam_26,Beam_27,Beam_28,Beam_29,Beam_30,Beam_31,Beam_32,Beam_33,Beam_34,Beam_35,Beam_36,Beam_37,Beam_38,Beam_39,Beam_40,Beam_41,Beam_42,Beam_43,Beam_44,Beam_45,Beam_46,Beam_47,Beam_48,Beam_49,Beam_50,Beam_51,Beam_52,Beam_53,Beam_54,Beam_55,Beam_56,Beam_57,Beam_58,Beam_59,Beam_60,Beam_61,Beam_62
0.0,-45.0,4.363791651221981e-08,2.3013933544709995e-07,1.0625455444043742e-06,4.29471260123068e-06,1.5196742710820206e-05,4.707569788818146e-05,0.00012766530162319526,0.0003030950448788112,0.0006299624296967378,0.001146252549129077,0.001825895136527541,0.0025462509342477958,0.0031085397346314932,0.003322320278202322,0.0031085397346314932,0.0025462509342477958,0.001825895136527541,0.001146252549129077,0.0006299624296967378,0.0003030950448788112,0.00012766530162319526,4.707569788818146e-05,1.5196742710820206e-05,4.29471260123068e-06,1.0625455444043742e-06,2.3013933544709995e-07,4.363791651221981e-08,7.243809350871544e-09,1.0526884753932036e-09,1.33925284415046e-10,1.4916094924115885e-11,1.4543788551499563e-12,1.2414516708941421e-13,9.277093529200545e-15,6.069094572063594e-16,3.47588762292616e-17,1.7427592694052048e-18,7.649603548627786e-20,2.9394786250465012e-21,9.888525489326673e-23,2.9122095410843758e-24,7.508333518204758e-26,1.6947059063511794e-27,3.348690288650937e-29,5.7927591846680645e-31,8.772549318844348e-33,1.1630436505321715e-34,1.3498828061096144e-36,1.3716048401104396e-38,1.229516738609102e-40,8.552741539098202e-42,5.018331982730999e-41,2.715036254020357e-40,1.2044270233303278e-39,4.3804435505616804e-39,1.3061358881422495e-38,3.19294409349062e-38,6.399218562717753e-38,1.0514660391223183e-37,1.4164336448231252e-37,1.5643354798133867e-37,1.4164336448231252e-37,1.0514660391223183e-37
0.0,-44.0,1.4521659268620143e-07,7.658488949016635e-07,3.5358984998539096e-06,1.4291780643160848e-05,5.0571140255429206e-05,0.0001566567103113736,0.000424839717102102,0.0010086281196547734,0.0020963649246467527,0.0038144554746509345,0.0060761441315509805,0.008473316655527762,0.010344479859996222,0.01105589059179104,0.010344479859996222,0.008473316655527762,0.0060761441315509805,0.0038144554746509345,0.0020963649246467527,0.0010086281196547734,0.000424839717102102,0.0001566567103113736,5.0571140255429206e-05,1.4291780643160848e-05,3.5358984998539096e-06,7.658488949016635e-07,1.4521659268620143e-07,2.4105672224462033e-08,3.503096521893433e-09,4.4567144886116174e-10,4.96372112646005e-11,4.83982643306523e-12,4.131255477821808e-13,3.087195769221615e-14,2.019650122843515e-15,1.1566926139109544e-16,5.7994877666638385e-18,2.545605866450865e-19,9.78188475344919e-21,3.2906657627628804e-22,9.691139736840873e-24,2.4985945650268767e-25,5.639577619536066e-27,1.114364370588339e-28,1.9276922875399823e-30,2.9192954730039215e-32,3.870332261820229e-34,4.4920898179380325e-36,4.5659883644453506e-38,5.676487039134325e-40,1.3043771041323408e-39,8.587956464784768e-39,4.6468749731672513e-38,2.061417251400957e-37,7.497276074419547e-37,2.2354953855885214e-36,5.464830920152343e-36,1.0952477225531964e-35,1.799619396343383e-35,2.424273695976705e-35,2.677412647782917e-35,2.424273695976705e-35,1.799619396343383e-35
0.0,-43.0,4.070670281694022e-07,2.146805870511686e-06,9.911730248033487e-06,4.0062313583076366e-05,0.00014175958404009359,0.00043913564097352166,0.0011908986286628053,0.0028273576979125368,0.005876470615713698,0.010692573248196077,0.017032474654629717,0.023752160589233642,0.028997352139133497,0.03099155849697937,0.028997352139133497,0.023752160589233642,0.017032474654629717,0.010692573248196077,0.005876470615713698,0.0028273576979125368,0.0011908986286628053,0.00043913564097352166,0.00014175958404009359,4.0062313583076366e-05,9.911730248033487e-06,2.146805870511686e-06,4.070670281694022e-07,6.757233572916539e-08,9.819780675057979e-09,1.2492935474659639e-09,1.3914162081849822e-10,1.3566863996188427e-11,1.1580618019315918e-12,8.65393949760126e-14,5.661425862156308e-15,3.2424078828766753e-16,1.6256959390185308e-17,7.135770064416444e-19,2.74203015153138e-20,9.224300804531752e-22,2.7165927662101633e-23,7.003989319481934e-25,1.580870380753232e-26,3.1237545534034962e-28,5.403652270024281e-30,8.18328615603149e-32,1.0849205605430628e-33,1.25922950156767e-35,1.3034500695012451e-37,2.469096016910675e-38,1.89614040635334e-37,1.251381639814004e-36,6.771143224094402e-36,3.003771690073146e-35,1.0924574153908548e-34,3.2574277468464534e-34,7.96301883953219e-34,1.595928286908957e-33,2.6222957977024508e-33,3.5325040052120565e-33,3.901362671052738e-33,3.5325040052120565e-33,2.6222957977024508e-33
0.0,-42.0,9.611984452078066e-07,5.0692056150519005e-06,2.3404351235650124e-05,9.459826235657542e-05,0.0003347337965086638,0.001036921357244944,0.0028120428112748817,0.006676177718203435,0.01387598117325961,0.025248138685306534,0.04021840882002941,0.05608545583111316,0.06847081159243201,0.07317968732526903,0.06847081159243201,0.05608545583111316,0.04021840882002941,0.025248138685306534,0.01387598117325961,0.006676177718203435,0.0028120428112748817,0.001036921357244944,0.0003347337965086638,9.459826235657542e-05,2.3404351235650124e-05,5.0692056150519005e-06,9.611984452078066e-07,1.5955707425879835e-07,2.3187232725759907e-08,2.949929452239263e-09,3.285520573746314e-10,3.2035138385256816e-11,2.734505932541324e-12,2.0434357524420105e-13,1.336820071337069e-14,7.656226616452033e-16,3.8387201635868537e-17,1.684953734062482e-18,6.474695654466198e-20,2.1781139168449908e-21,6.414630914438344e-23,1.6538366358025209e-24,3.732874556036819e-26,7.376053112050966e-28,1.2759525584153225e-29,1.9323014121413924e-31,2.5618007918527724e-33,2.975828241737543e-35,5.996845418890722e-37,2.9245508749582993e-36,2.3521617928435988e-35,1.552409780547889e-34,8.39998696598518e-34,3.726349039101971e-33,1.3552553456560178e-32,4.0410237550746444e-32,9.878576224387192e-32,1.9798394991379912e-31,3.253106572081865e-31,4.382271445246312e-31,4.839861527595911e-31,4.382271445246312e-31,3.253106572081865e-31
0.0,-41.0,1.9118668435737377e-06,1.0082877460939152e-05,4.6552304933368524e-05,0.00018816018914816833,0.0006658005432271756,0.0020624831138605208,0.005593279348703076,0.013279217090784438,0.02759994927111335,0.05021968091506125,0.07999622003933239,0.11155648861567034,0.13619151704708984,0.1455576822016472,0.13619151704708984,0.11155648861567034,0.07999622003933239,0.05021968091506125,0.02759994927111335,0.013279217090784438,0.005593279348703076,0.0020624831138605208,0.0006658005432271756,0.00018816018914816833,4.6552304933368524e-05,1.0082877460939152e-05,1.9118668435737377e-06,3.173661812021331e-07,4.61204464734899e-08,5.867542065570636e-09,6.535047866694093e-10,6.371932790093898e-11,5.439055017251074e-12,4.0644854156234237e-13,2.658995114854425e-14,1.5228578331415025e-15,7.63538667702796e-17,3.351448593337429e-18,1.2878460224026557e-19,4.332366328622366e-21,1.2758988760563776e-22,3.289555288444926e-24,7.424855013538762e-26,1.4671300657712286e-27,2.5379269001248435e-29,3.8434343242576256e-31,5.0957129843511e-33,6.176521664471484e-35,3.202900895482009e-35,3.086026494769883e-34,2.4842713028217343e-33,1.6396025320211185e-32,8.871781203232669e-32,3.935643411792482e-31,1.4313747092550936e-30,4.2679921691900916e-30,1.0433417006145058e-29,2.0910392986338924e-29,3.435820776294783e-29,4.628406400256641e-29,5.111697518185508e-29,4.628406400256641e-29,3.435820776294783e-29
0.0,-40.0,3.2033151837847536e-06,1.6893767772285617e-05,7.799795562879943e-05,0.0003152606536946262,0.0011155426418217955,0.0034556713492553664,0.009371487729427327,0.022249205209381052,0.04624345930210506,0.08414261010946623,0.13403292554536944,0.1869118631527253,0.22818762505663817,0.243880547999612,0.22818762505663817,0.1869118631527253,0.13403292554536944,0.08414261010946623,0.04624345930210506,0.022249205209381052,0.009371487729427327,0.0034556713492553664,0.0011155426418217955,0.0003152606536946262,7.799795562879943e-05,1.6893767772285617e-05,3.2033151837847536e-06,5.317440963431649e-07,7.727438078025547e-08,9.831012370612959e-09,1.0949412156241494e-09,1.0676114356588819e-10,9.113086290901526e-12,6.810007658169861e-13,4.455121680493828e-14,2.5515341908065053e-15,1.2793019638790578e-16,5.6153210684087784e-18,2.1577740791967986e-19,7.258839646098255e-21,2.137756746178776e-22,5.5116194094762074e-24,1.2440275787099642e-25,2.4581628328729233e-27,4.2522730124521665e-29,6.439647498030164e-31,8.55367052724692e-33,3.350427217801653e-34,2.8269649951479938e-33,2.774853612315525e-32,2.2338130531254934e-31,1.4743017777367722e-30,7.97734972006682e-30,3.538861379708707e-29,1.2870669795177547e-28,3.83770354071974e-28,9.381545185422881e-28,1.880225783468146e-27,3.089429651171759e-27,4.161781682351464e-27,4.5963485608623586e-27,4.161781682351464e-27,3.089429651171759e-27
0.0,-39.0,4.521048353466084e-06,2.3843280036056066e-05,0.00011008361919998925,0.00044494799216563904,0.001574438334872428,0.004877215124742061,0.013226593930914925,0.03140175936697973,0.06526642042427457,0.11875597219324482,0.18916943934039462,0.263800944542549,0.3220561285276797,0.3442045776692267,0.3220561285276797,0.263800944542549,0.18916943934039462,0.11875597219324482,0.06526642042427457,0.03140175936697973,0.013226593930914925,0.004877215124742061,0.001574438334872428,0.00044494799216563904,0.00011008361919998925,2.3843280036056066e-05,4.521048353466084e-06,7.504852421038303e-07,1.090623906633224e-07,1.3875151129696302e-08,1.5453621938603276e-09,1.5067898868522556e-10,1.2861895070155262e-11,9.611409475380878e-13,6.287804784257866e-14,3.6011471835652256e-15,1.805562582994953e-16,7.925270107363511e-18,3.045407769203148e-19,1.0244875432860958e-20,3.0171559971202693e-22,7.778909169563175e-24,1.7557775347438724e-25,3.469366075728975e-27,6.001511497407587e-29,9.089377059782938e-31,1.328601541913534e-32,1.8202757941182137e-32,2.163375895349215e-31,2.1242388461045506e-30,1.7100556019190666e-29,1.128625339162711e-28,6.106917301052275e-28,2.709111991342924e-27,9.852910904806478e-27,2.937885259082614e-26,7.181874007522287e-26,1.4393731965971894e-25,2.3650575754082416e-25,3.1859774801175324e-25,3.518652376163114e-25,3.1859774801175324e-25,2.3650575754082416e-25
0.0,-38.0,5.374970442878644e-06,2.8346727448032637e-05,0.0001308758839067544,0.0005289884379747875,0.0018718135380229911,0.005798408928529041,0.01572479342852467,0.0373328297456728,0.07759374668577045,0.1411862449921921,0.22489919718974613,0.3136268778529237,0.3828851267332923,0.4092169086971255,0.3828851267332923,0.3136268778529237,0.22489919718974613,0.1411862449921921,0.07759374668577045,0.0373328297456728,0.01572479342852467,0.005798408928529041,0.0018718135380229911,0.0005289884379747875,0.0001308758839067544,2.8346727448032637e-05,5.374970442878644e-06,8.922346497427199e-07,1.296617687788327e-07,1.649584817101458e-08,1.8372455824705625e-09,1.7913878534942552e-10,1.5291211337850564e-11,1.1426783746953261e-12,7.475426543506567e-14,4.281321091662139e-15,2.1465918427802717e-16,9.422171418770698e-18,3.6206152790713955e-19,1.2179896859626499e-20,3.587027396785642e-22,9.24816626484093e-24,2.0874035435374825e-25,4.124649570074191e-27,7.135079465807956e-29,1.0850551749824023e-30,9.491110091898818e-32,1.1774105956512686e-30,1.409964543395228e-29,1.3844661754626167e-28,1.1145235184718408e-27,7.3557811958604e-27,3.9801647091390497e-26,1.7656554705907818e-25,6.421604605460185e-25,1.9147577494926153e-24,4.680764461195109e-24,9.381070870878845e-24,1.5414190552571896e-23,2.0764510972320635e-23,2.2932709452147705e-23,2.0764510972320635e-23,1.5414190552571896e-23
0.0,-37.0,5.382827441062171e-06,2.838816398957924e-05,0.00013106719502056432,0.0005297617001239367,0.0018745497085237298,0.005806884898565146,0.015747779540674908,0.037387401948183456,0.07770717129586678,0.14139262753554394,0.22522794924570147,0.3140853298268987,0.3834448186938737,0.4098150918020318,0.3834448186938737,0.3140853298268987,0.22522794924570147,0.14139262753554394,0.07770717129586678,0.037387401948183456,0.015747779540674908,0.005806884898565146,0.0018745497085237298,0.0005297617001239367,0.00013106719502056432,2.838816398957924e-05,5.382827441062171e-06,8.935388961747343e-07,1.2985130512932892e-07,1.6519961391820652e-08,1.839931222393154e-09,1.7940064597285505e-10,1.5313563650478525e-11,1.1443487135389973e-12,7.486353936205285e-14,4.287579420409767e-15,2.149729677376527e-16,9.435944514736338e-18,3.625907804485863e-19,1.2197701130090632e-20,3.5922708242687043e-22,9.261685004398274e-24,2.0904548582814567e-25,4.130679307959151e-27,7.14664311180744e-29,1.3330557702449463e-30,4.485837326224911e-30,6.532242784632629e-29,7.823529862200413e-28,7.682046893249798e-27,6.184204486311194e-26,4.0815338858116453e-25,2.2084910764617145e-24,9.7971682979649e-24,3.5631833112735905e-23,1.0624498512914815e-22,2.5972358681117716e-22,5.205315061062517e-22,8.552938075168096e-22,1.1521693331978065e-21,1.2724770929169204e-21,1.1521693331978065e-21,8.552938075168096e-22
0.0,-36.0,4.54090361743325e-06,2.3947993496728522e-05,0.00011056707771376538,0.00044690208757568693,0.0015813528569688273,0.004898634580177039,0.013284681678125932,0.03153966769542902,0.0655530535023576,0.11927751741710138,0.19000022212769785,0.2649594894151482,0.32347051495848606,0.3457162343059205,0.32347051495848606,0.2649594894151482,0.19000022212769785,0.11927751741710138,0.0655530535023576,0.03153966769542902,0.013284681678125932,0.004898634580177039,0.0015813528569688273,0.00044690208757568693,0.00011056707771376538,2.3947993496728522e-05,4.54090361743325e-06,7.537811773428352e-07,1.0954136420799824e-07,1.3936087170792492e-08,1.5521490211368984e-09,1.513407314627297e-10,1.2918381155189133e-11,9.653620276352306e-13,6.315419181186364e-14,3.616962481771334e-15,1.8134921424448355e-16,7.960075824464979e-18,3.058782404999474e-19,1.0289868250925875e-20,3.0304065585098694e-22,7.813072107655356e-24,1.763488457623068e-25,3.4846232002262856e-27,6.082411732761202e-29,1.276744550405648e-29,2.1124548712174135e-28,3.0858259945787975e-27,3.695838168235962e-26,3.6290015732762207e-25,2.9214203092210567e-24,1.9281180001692458e-23,1.043291937999489e-22,4.628185646494313e-22,1.6832490119099099e-21,5.019016722299924e-21,1.2269351102044491e-20,2.4589926107622857e-20,4.040410864746534e-20,5.442851860924638e-20,6.01118612829611e-20,5.442851860924638e-20,4.040410864746534e-20
0.0,-35.0,3.2267963644636613e-06,1.7017603733047947e-05,7.856970208009347e-05,0.00031757160093073567,0.0011237198759760372,0.003481002369983376,0.009440183310092875,0.022412297998416673,0.04658243656809097,0.0847593985668671,0.13501542372649913,0.18828197847947722,0.22986030306215222,0.24566825944325585,0.22986030306215222,0.18828197847947722,0.13501542372649913,0.0847593985668671,0.04658243656809097,0.022412297998416673,0.009440183310092875,0.003481002369983376,0.0011237198759760372,0.00031757160093073567,7.856970208009347e-05,1.7017603733047947e-05,3.2267963644636613e-06,5.356419267110228e-07,7.784082322904631e-08,9.903076393191652e-09,1.1029674356623775e-09,1.0754373208987958e-10,9.17988771800503e-12,6.859926885929803e-13,4.487778946833319e-14,2.570237637674921e-15,1.2886795988706976e-16,5.65648291512457e-18,2.1735911562282242e-19,7.312048935684234e-21,2.1534270906578594e-22,5.5520210951800584e-24,1.2531468986692467e-25,2.477009322693013e-27,6.47710012470126e-29,4.77422263681016e-28,8.495497150590915e-27,1.241072677866462e-25,1.4864104409647133e-24,1.4595297692848544e-23,1.17495124314654e-22,7.754600165137192e-22,4.195963024040535e-21,1.861386552868656e-20,6.769773978863247e-20,2.0185729244868296e-19,4.934548200560799e-19,9.88969788353958e-19,1.624992389274689e-18,2.1890330330321392e-18,2.417608514575545e-18,2.1890330330321392e-18,1.624992389274689e-18
0.0,-34.0,1.9315158791589323e-06,1.0186503306377641e-05,4.703074196431717e-05,0.00019009398818062523,0.000672643247053797,0.0020836800943062695,0.005650763762604602,0.013415693022692235,0.027883605210438055,0.05073580906524803,0.08081837383080447,0.11270300016376085,0.13759121283336004,0.14705363788856757,0.13759121283336004,0.11270300016376085,0.08081837383080447,0.05073580906524803,0.027883605210438055,0.013415693022692235,0.005650763762604602,0.0020836800943062695,0.000672643247053797,0.00019009398818062523,4.703074196431717e-05,1.0186503306377641e-05,1.9315158791589323e-06,3.2062788293044047e-07,4.6594445118849906e-08,5.927845189311467e-09,6.602211219892684e-10,6.437419743099992e-11,5.494954404775377e-12,4.1062577905330715e-13,2.6863226925088243e-14,1.5385088644124126e-15,7.713858661114049e-17,3.3858927979083612e-18,1.3010817414107536e-19,4.37689182496922e-21,1.2890118093717063e-22,3.323363412485765e-24,7.501250901426754e-26,1.5105417967871346e-27,7.76761405198362e-28,1.632540296453475e-26,2.9089065264860337e-25,4.249507634895419e-24,5.0895589235867874e-23,4.997517883881454e-22,4.0231038611775935e-21,2.6552218271376485e-20,1.4367230250481567e-19,6.373499727474242e-19,2.3180114062203447e-18,6.91171533622415e-18,1.689619040333853e-17,3.3862921523958057e-17,5.564071865797323e-17,7.495381020111478e-17,8.278037243279643e-17,7.495381020111478e-17,5.564071865797323e-17
0.0,-33.0,9.739181414339423e-07,5.136287242007032e-06,2.3714064843252658e-05,9.585009663356054e-05,0.00033916338358242506,0.0010506431071502901,0.002849255033696418,0.006764524669814338,0.014059604301494385,0.025582251433775488,0.04075062560152739,0.05682764384070982,0.06937689704040056,0.07414808609593065,0.06937689704040056,0.05682764384070982,0.04075062560152739,0.025582251433775488,0.014059604301494385,0.006764524669814338,0.002849255033696418,0.0010506431071502901,0.00033916338358242506,9.585009663356054e-05,2.3714064843252658e-05,5.136287242007032e-06,9.739181414339423e-07,1.6166851911747592e-07,2.3494073168612114e-08,2.9889663511315698e-09,3.328998404834298e-10,3.245906461074571e-11,2.7706920967656913e-12,2.0704768719509707e-13,1.3545104299734011e-14,7.757542715417067e-16,3.889518575321075e-17,1.7072510023937177e-18,6.560376360975949e-20,2.2069372545298682e-21,6.499516775766157e-23,1.6757227741218596e-24,3.78482663202823e-26,1.5733209107756493e-27,2.1909043979741268e-26,4.758945779889696e-25,8.479822396020164e-24,1.238784069289462e-22,1.4836694167962215e-21,1.4568383145826318e-20,1.1727845671973415e-19,7.740300247781937e-19,4.188225433037554e-18,1.857954051733153e-17,6.757290136195677e-17,2.0148505628716573e-16,4.925448617094101e-16,9.871460726317877e-16,1.6219958122269108e-15,2.1849963334224013e-15,2.4131503089660263e-15,2.1849963334224013e-15,1.6219958122269108e-15
0.0,-32.0,4.1366052351485887e-07,2.181578901819269e-06,1.0072276159967774e-05,4.071122558001734e-05,0.00014405574435979727,0.00044624856981426825,0.001210188288649051,0.002873154012846133,0.005971655140549,0.010865766916717909,0.017308359299136416,0.024136887794956832,0.029467038684908912,0.03149354633327558,0.029467038684908912,0.024136887794956832,0.017308359299136416,0.010865766916717909,0.005971655140549,0.002873154012846133,0.001210188288649051,0.00044624856981426825,0.00014405574435979727,4.071122558001734e-05,1.0072276159967774e-05,2.181578901819269e-06,4.1366052351485887e-07,6.86668431450951e-08,9.97883722764976e-09,1.269529063045228e-09,1.4139537650426736e-10,1.3786614180853527e-11,1.1768195852262148e-12,8.794112259944363e-14,5.753127185249557e-15,3.2949270008704924e-16,1.652028257445919e-17,7.25135217608382e-19,2.7864443678400147e-20,9.373712032251342e-22,2.760594992184272e-23,7.117597636810196e-25,1.6698710062533052e-26,2.0816254627725523e-26,5.434305657564844e-25,1.1810905030934798e-23,2.1045505055115582e-22,3.0744554759190947e-21,3.6822200704762694e-20,3.6156297492325927e-19,2.9106557180399212e-18,1.9210134414875325e-17,1.0394477081364695e-16,4.611132117346981e-16,1.6770467248195967e-15,5.000523093370081e-15,1.2224142082221342e-14,2.449931932266704e-14,4.02552311613142e-14,5.422796521760531e-14,5.98903664128783e-14,5.422796521760531e-14,4.02552311613142e-14
0.0,-31.0,1.4800048811257579e-07,7.805307105011944e-07,3.6036839469559507e-06,1.4565763264783271e-05,5.1540621521029905e-05,0.00015965992014627955,0.0004329841675640306,0.0010279641690502266,0.0021365535877862843,0.0038875810380150128,0.006192627720271247,0.008635755582424503,0.010542790188298012,0.011267839121112991,0.010542790188298012,0.008635755582424503,0.006192627720271247,0.0038875810380150128,0.0021365535877862843,0.0010279641690502266,0.0004329841675640306,0.00015965992014627955,5.1540621521029905e-05,1.4565763264783271e-05,3.6036839469559507e-06,7.805307105011944e-07,1.4800048811257579e-07,2.456779345602386e-08,3.5702531339929926e-09,4.542152570114553e-10,5.0588788511121506e-11,4.9326090168059955e-12,4.2104543008842975e-13,3.146379296553303e-14,2.058368113920541e-15,1.178867154836503e-16,5.910667675035768e-18,2.5944067672148753e-19,9.969409771926575e-21,3.353749941863481e-22,9.876932174626556e-24,2.5498904302744765e-25,1.914257415927913e-26,4.332423555744775e-25,1.148227496499493e-23,2.495579268456787e-22,4.446799490423854e-21,6.496155358550092e-20,7.780328526317121e-19,7.639626839282488e-18,6.150055477380741e-17,4.058995766733436e-16,2.1962958488200954e-15,9.743068601158175e-15,3.543507509966112e-14,1.0565830321168879e-13,2.582894002306579e-13,5.176571452907327e-13,8.505708983802065e-13,1.1458070854849693e-12,1.2654505090279196e-12,1.1458070854849693e-12,8.505708983802065e-13
0.0,-30.0,4.4604601843154506e-08,2.3523747801276324e-07,1.0860834965643557e-06,4.389850866391151e-06,1.5533387294949836e-05,4.811853838629009e-05,0.0001304933966426712,0.00030980933275461556,0.000643917620239745,0.0011716448137776285,0.0018663431272974956,0.002602656547158464,0.0031774014036173317,0.0033959177029718097,0.0031774014036173317,0.002602656547158464,0.0018663431272974956,0.0011716448137776285,0.000643917620239745,0.00030980933275461556,0.0001304933966426712,4.811853838629009e-05,1.5533387294949836e-05,4.389850866391151e-06,1.0860834965643557e-06,2.3523747801276324e-07,4.4604601843154506e-08,7.404277237499775e-09,1.0760080696483889e-09,1.3689205318479302e-10,1.5246522481397052e-11,1.486596862270011e-12,1.2689528262020878e-13,9.482603575168853e-15,6.203539686857911e-16,3.552886935579408e-17,1.781365599765019e-18,7.819060757609257e-20,3.0045951818361184e-21,1.0107580447569215e-22,2.9768490160795803e-24,8.285599373598565e-26,2.4269099248797945e-25,7.791529978817541e-24,2.0655307402048477e-22,4.4892641710213764e-21,7.999288134317176e-20,1.1685846998552687e-18,1.3995928936236155e-17,1.3742822553095104e-16,1.1063252550863174e-15,7.301673202040961e-15,3.9508872304120124e-14,1.7526675808281354e-13,6.374368270793426e-13,1.900673086325422e-12,4.6463334785716734e-12,9.312065158067935e-12,1.5300806140373886e-11,2.0611770426967514e-11,2.276401997264034e-11,2.0611770426967514e-11,1.5300806140373886e-11
0.0,-29.0,1.1323837675791814e-08,5.97200940307908e-08,2.7572565854746256e-07,1.1144580733338946e-06,3.9434845064134105e-06,1.2215926056210933e-05,3.3128555805528485e-05,7.86517634860817e-05,0.0001634723393298504,0.00029744723944749975,0.00047381135011947094,0.0006607403507264423,0.0008066516959822976,0.000862126759118291,0.0008066516959822976,0.0006607403507264423,0.00047381135011947094,0.00029744723944749975,0.0001634723393298504,7.86517634860817e-05,3.3128555805528485e-05,1.2215926056210933e-05,3.9434845064134105e-06,1.1144580733338946e-06,2.7572565854746256e-07,5.97200940307908e-08,1.1323837675791814e-08,1.8797350515275458e-09,2.7316779469045785e-10,3.475299241144011e-11,3.870657702690544e-12,3.7740459194953145e-13,3.221509716122483e-14,2.4073628996102065e-15,1.574901995007766e-16,9.019767754101576e-18,4.522379767879115e-19,1.985036770593492e-20,7.627811197717021e-22,2.5660299822627138e-23,7.576498473577287e-25,1.1304946643587025e-25,3.69074325605242e-24,1.1932742289456893e-22,3.1633777313086436e-21,6.875345920617553e-20,1.2250977208524817e-18,1.7896973185326796e-17,2.1434883145961164e-16,2.104724858659448e-15,1.6943464540466623e-14,1.1182574059127336e-13,6.050817097784292e-13,2.684225174329053e-12,9.762398740109906e-12,2.910896853625705e-11,7.115898889176142e-11,1.4261506286587408e-10,2.3433313583694053e-10,3.156710015792924e-10,3.4863288479735e-10,3.156710015792924e-10,2.3433313583694053e-10
