Angle,Power_Level,Beam_0,Beam_1,Beam_2,Beam_3,Beam_4,Beam_5,Beam_6,Beam_7,Beam_8,Beam_9,Beam_10,Beam_11,Beam_12,Beam_13,Beam_14,Beam_15,Beam_16,Beam_17,Beam_18,Beam_19,Beam_20,Beam_21,Beam_22,Beam_23,Beam_24,Beam_25,Beam_26,Beam_27,Beam_28,Beam_29,Beam_30,Beam_31,Beam_32,Beam_33,Beam_34,Beam_35,Beam_36,Beam_37,Beam_38,Beam_39,Beam_40,Beam_41,Beam_42,Beam_43,Beam_44,Beam_45,Beam_46,Beam_47,Beam_48,Beam_49,Beam_50,Beam_51,Beam_52,Beam_53,Beam_54,Beam_55,Beam_56,Beam_57,Beam_58,Beam_59,Beam_60,Beam_61,Beam_62
-45.0,800,12904.92770542735,16788.15599900466,18874.229980224423,16546.135783913458,16055.109812892206,14256.852200068462,13445.836327003788,13983.379349123472,12263.152237477558,10809.302563337133,11005.73772179089,9408.22046137599,12534.660009098956,12443.851880304697,12146.423936406458,12606.990166154786,12023.92845165973,10654.449381647488,11482.858332504618,12003.695880616177,12216.746921694856,10142.453868682504,11585.036280889268,10373.726272045942,10542.065570847333,11846.350142868041,11511.26701267205,10841.737795915293,9716.229472219788,11901.325636838199,11226.609547486294,11388.700170002387,11919.519314402381,10003.054880285938,11277.36958461876,11472.698622800839,13193.386636793672,10668.070475846154,11992.808282750044,12501.182202316564,10281.318100018247,10387.218545204345,11906.525967556374,10672.658980151682,11159.893239940018,13269.456315968053,10235.781579568376,10686.36012230386,10574.693198678651,11522.320415985101,11235.416523532074,11403.145485550294,11602.50274746932,10129.000678716586,9812.820912678115,10988.018990531706,11135.957622919552,12501.381925592123,11204.029497814368,11036.19718212217,10854.87360508546,12435.041321397597,11721.36871037157
-44.0,800,11728.309181462444,14373.256322819285,19569.479502168855,17778.44353115774,15608.107862186183,16767.240407725276,12465.22251220391,14410.953528356962,12109.182057559674,11066.852344487808,9841.373595986852,11680.728774297819,10388.380186406377,12185.067192850644,12026.670637331268,12879.620826164524,12066.613867736445,13513.57313396889,12628.112522277492,11695.793050132772,11270.907346602706,11103.374908300179,13286.283536859519,10889.391613996799,12543.521930792893,11136.207943137719,10084.304983302827,12576.599373254056,11894.297347646467,11814.548096526118,12281.150192859786,11630.353670565575,11664.364289908372,11652.715034208459,12013.510051710502,12420.616848824357,13422.663661771705,10941.230412025869,11980.012059957326,11249.744602862478,11563.959653821563,13699.305703805465,11074.46452871525,10768.698127858923,12097.742771617042,11283.995415847006,12225.008183027052,11165.751587508852,10951.078270913351,12592.756292660059,13008.570246180785,11682.576277322092,11057.337444006997,11966.793126554103,12303.213450477164,10941.935996076902,10491.051558537985,11022.071975190605,12374.970085268094,10594.101394971616,12074.96354389473,12985.13933319683,10394.184302279496
-43.0,800,11030.615859816715,17180.935260585284,18898.840826745687,18810.426432211694,18217.940412442167,18128.753031380493,13311.850429700602,12678.764626737422,13833.606186450248,12733.906289670616,13397.939064126509,12326.727228775593,11698.106112935846,9863.373446309375,13390.20890136446,13200.737418373606,12646.59032305179,12842.604184315769,13972.232403166123,14044.096558894758,13387.484352288313,12951.908497180031,13716.35838080643,13446.100321502034,11634.463699397935,11858.22425829401,12179.55643955689,12610.668485981969,11597.086935161085,12504.254247961246,12519.935015166957,11530.657964980874,11909.27919723048,12104.400781307355,12855.451875853621,12489.366681800557,12165.826768458603,12440.83919171048,11315.510165807511,12042.082443407067,11715.834718606036,12625.548514071665,9657.982098226114,11062.682000985673,12656.534515201727,11947.560296211226,12123.42375655805,11352.397318297182,11768.690045093808,11405.262515269624,11332.182528336109,12082.005838819576,12460.687937623501,11576.751539479426,13069.307055210349,13020.996398790778,11207.767369004958,11106.324347346948,11267.552843797801,11839.160488715392,11443.534389818673,12870.284749207658,12661.280948806414
-42.0,800,12003.141513483968,15320.45745817661,17871.813273998618,17578.170319308327,16615.645527176137,19075.110377391506,16898.407379954562,14880.950426758549,14066.882359890156,13088.608905069594,12570.79998473523,10302.551462099505,11609.223477917887,11421.880224397048,12017.518727885836,13282.968963512041,12682.974138387171,13718.088089147197,12047.900988692425,12062.02381687264,14297.881230353783,12286.779862306268,11650.181293285556,12434.057127207509,11460.410708279429,11911.928786440165,11581.379873425762,12804.42537664763,10933.787248012712,11211.460649316325,12143.732965378313,12413.919027725198,11190.965785659315,11614.091211739104,12656.029264800625,12036.373781023729,12139.275785937563,11172.789668192516,10871.442893917647,11296.201194061496,11912.538121810709,13371.979433885506,12485.894459650466,12609.446797409475,11261.103797912749,11973.909505500922,12102.73127564169,12831.551304962508,11649.845826643585,11811.894795700562,12127.175957462732,12398.499776847708,11440.382342453908,11864.830888703353,12081.82015685731,11935.73059490776,12728.366883863157,11614.836939942825,11579.76039181197,11574.138844035404,12781.135207927175,13041.33155869906,11325.802784915097
-41.0,800,14388.549481501257,15584.199109543066,17832.694293231612,18513.658861847263,17271.328198831416,18442.874205862587,16338.160004738678,14932.439917945347,15114.55250276685,13051.725554579607,12965.804211769198,12157.484961002285,12026.83954884885,12262.924153350164,11229.584330674246,12331.638704185118,11628.666363368178,13550.049331057911,12464.201080112914,13354.909392546988,12492.126554285762,11118.344047290338,12695.19562715492,12380.01927584953,12530.791133023407,12989.18092423724,12233.451442910382,12313.717131703843,11870.12749504014,12889.899644169522,11431.22698665388,12126.46588397357,12457.532737169196,10937.700624763705,12409.567583269212,11775.401172282422,12732.468947102829,11983.746479838977,11888.14519863686,11698.788948987229,10422.163045390069,13294.724930339587,13792.116452691705,11646.091112006656,12323.35400361538,12088.224324718065,12331.9259968047,12465.752067622232,9957.131299096556,11261.261332023116,12945.495004870323,12363.48389010279,13419.953867071405,12627.306683167017,14022.902182562166,13133.062885732152,11499.515252078314,11298.316759488798,11066.16645920409,11965.615112953557,12032.305355075947,10423.2756509529,11383.799589661194
-40.0,800,11776.042208695295,15777.282043433312,17675.186423117113,18315.835515289058,17461.73343327914,18262.989843914715,17698.865427055982,18070.863049911906,15776.158689163221,14920.314158334593,12484.358720752698,13165.22337763202,13544.909698260359,13211.902503819369,12414.39795064571,12071.888380922492,12257.020120857316,12642.53201837752,12159.745506774845,13644.1718483338,13280.809099775965,14086.615961665111,13582.51117068019,11919.388579996421,11509.745010463208,12982.247064549923,12338.830988991196,11273.838198800013,11223.823581275468,11569.842669749467,11928.876108470382,11685.94099258991,12776.442097050534,11384.517828580549,10908.152118319867,12217.830030926392,12998.770801456623,13925.757028636739,12385.584423223292,12510.257101011479,10635.787627187707,12356.143030077492,10899.512749619915,10959.12411829354,11598.19296401727,11348.773386737008,10723.098839474653,11584.705371970835,12253.447375559826,12306.534765847975,10129.23775899877,11111.897314473337,13302.43945474681,13608.644837639888,12385.066892431365,11221.219885932802,12574.897108960247,11450.722206748716,12227.050476250273,12023.229585476254,11230.001492131552,12239.319388141543,12637.386613899853
-39.0,800,14064.059211461301,12916.276778552956,15920.498192043471,18248.113188669115,20219.19493707527,21612.227725238015,17141.340426970728,17865.760592210183,15967.842390352813,14049.10635855332,14697.939286490917,11818.067166474788,12804.429510027107,13053.13808520482,12663.115859836129,13099.960574916182,15082.681576385201,12167.843677264354,11817.486029233329,12317.393137181463,14095.643214506656,12965.88816790649,12770.13134410221,11154.61708906151,13603.015048624555,12884.460359685481,13024.517330646157,12926.492966366799,12264.878678802108,10948.076637916372,12058.814479528108,12094.535124452577,12372.630461138431,12334.786052442221,11529.820577309332,12552.873213202602,13083.655336826749,11995.490218114519,14771.831569563117,12860.040166373494,11335.421640848808,13323.964005442665,10173.185939163364,11558.506866514083,13112.613628612393,12228.304908743696,11178.364459709857,13840.063992701553,12052.145992235959,12515.49405727681,12338.61420740309,11797.410156732845,10484.995397082354,12093.967234196718,12097.575407526358,11287.84945284884,11595.053822735788,11891.537719979238,12422.724907941465,11945.219084542587,11917.836626565,10446.0947305792,11293.163261179321
-38.0,800,12105.548680689591,12907.189717442294,16681.0469312401,15434.34288748465,18637.915858381224,19110.69465910942,19466.588200826744,18816.096353602225,17093.963167279235,15087.549950229446,12939.574666716971,14580.866550617997,12885.842673671486,12303.790953023774,12512.527418970169,13284.799533080884,14751.6671367357,13481.15147105957,13456.315340526851,13613.441332965713,14169.318985718108,12783.644848439548,13084.63945628428,12928.539156643405,12611.556148524305,11859.564959817615,11628.322767789301,14074.837048151741,13703.005761398852,11670.855079192606,11265.237766211885,14248.260727934126,12247.8824637726,11624.949458887246,12160.166987465911,12328.18838568053,12131.856075653755,11619.9334161435,11848.412454942696,11036.694914092412,11098.996854053366,12486.28438573029,13234.030841676458,13182.92365224801,12215.370080848552,12045.871808880273,11765.904004642707,13676.849256965812,13132.30839621603,12241.12252429132,11444.841435075365,11560.54907186547,12710.960894090564,12037.087235911096,13357.68335527635,12870.487771255019,11047.801753628964,10237.343109774434,14305.397778926666,11860.894388335313,10814.536954953834,11689.221037024772,12226.836231757461
-37.0,800,13304.511834340698,12611.170224692387,15416.225045279858,13675.853556452155,17741.0689383603,17123.906847529663,16698.599352267553,20184.755745785795,18453.566398461277,17224.80712721286,16409.732171395095,12957.605097595524,11926.86775835764,13820.249446018921,13733.21593906527,11371.831453711751,12211.977525404467,12995.720231167117,12564.078337995255,12779.676748468715,14503.529664990065,13100.269638472113,12893.671264215693,13235.745183154471,12220.441140791147,12115.37912293629,12509.20546708644,12839.92504029906,13164.94462014439,11468.125677259537,11417.262518665504,11689.16708122908,11751.712603075295,12260.761602012999,12142.18079531363,12638.68611506222,12809.179525042671,13121.00628123047,12614.050006933483,12588.214864072712,12782.155111217908,12628.26981992847,13036.920157274693,13558.109883165504,12645.093143935213,12407.187364796211,13020.803018999188,12895.823410935465,12374.428815173067,12099.781320935903,11316.634391205946,12261.218424341638,13182.2453023976,12010.54878776642,11766.867788165666,12350.708527617442,12314.618302757357,11797.365956372341,13315.0384427699,13287.764197707022,12497.066281569481,12712.551723202347,11839.859335996249
-36.0,800,13619.193126261966,10589.136275673187,13970.23017553392,14268.093946391145,15484.301867652224,16749.58025863301,18821.941258806703,21147.71003489266,18879.750328638867,17873.668399503687,16157.624776799805,14632.843682324505,12082.80456264592,14151.832416595546,11965.660286964048,11334.16084437129,12986.315607416984,13513.841652188337,11024.859959770114,12179.679409876682,14742.221418596293,13133.726461492668,12618.846275325026,12726.356053386584,11918.847460543471,14475.54270930717,12111.964255966968,13430.852265138952,13122.383244895418,14014.790121848808,14828.843145192863,12116.93539896846,13178.403242036427,14146.433610808812,13081.081699649312,11476.448995063956,13624.23368580229,13428.318714414123,12210.980469098442,12621.193304300652,11768.688980209516,13220.748039746846,13422.804819869463,12120.294012405435,13407.52715736161,12789.373013665052,12354.39014822424,13595.618514429461,12767.389365344085,11731.982675508578,11526.936173435544,11495.680523080227,13049.163221157873,12395.197990027296,12817.304931919285,12255.62221357733,12546.849383789258,12975.26851769826,13740.977847041133,11297.471103389806,12840.156849134512,11133.781834173333,12141.34651837085
