Angle,Power_Level,Beam_0,Beam_1,Beam_2,Beam_3,Beam_4,Beam_5,Beam_6,Beam_7,Beam_8,Beam_9,Beam_10,Beam_11,Beam_12,Beam_13,Beam_14,Beam_15,Beam_16,Beam_17,Beam_18,Beam_19,Beam_20,Beam_21,Beam_22,Beam_23,Beam_24,Beam_25,Beam_26,Beam_27,Beam_28,Beam_29,Beam_30,Beam_31,Beam_32,Beam_33,Beam_34,Beam_35,Beam_36,Beam_37,Beam_38,Beam_39,Beam_40,Beam_41,Beam_42,Beam_43,Beam_44,Beam_45,Beam_46,Beam_47,Beam_48,Beam_49,Beam_50,Beam_51,Beam_52,Beam_53,Beam_54,Beam_55,Beam_56,Beam_57,Beam_58,Beam_59,Beam_60,Beam_61,Beam_62
-45.0,800,11711.14554385324,17600.974336249004,18641.98592418444,17559.925002391254,15273.824280266774,15239.520644431725,12938.837621679471,12617.449575884544,11964.603975560944,11230.431352311958,11898.272535834149,11511.920311441878,12543.270942621812,11439.963550201555,12749.427984653506,12256.245915862972,11132.734022338189,12459.899175821816,11988.994067429854,11844.853288289874,11403.324948767657,11110.805850127072,11891.15865988121,11197.957837754318,11158.309659872062,11316.352851617696,11183.915187825976,11907.15972160205,11003.18859907522,11017.703492590796,11452.476039962834,11740.756109903272,11191.057020408183,11480.679476451376,10965.812074328798,12043.8624155441,11820.951365634184,11189.11141108015,11088.35460289963,11639.60029853181,10722.935213232726,11668.18808182095,11798.530951117822,10697.925664992246,12149.683364510998,12323.051755121189,10568.0321679915,11530.568176831152,11357.539139230648,11515.645465001166,11251.955798332929,11602.194835732424,10969.110461078488,10905.936536909603,10854.38485866543,11584.037352845142,10738.74768913782,11269.866070866436,12276.958252417466,11482.575220211564,11173.642022196964,12164.071301280295,10880.336713304558
-44.0,800,11411.922008884205,16489.727065875697,18355.08997970273,18475.606833454007,16052.333909783889,16733.339561598295,12633.747263301177,13431.084605254871,12708.394119059489,12043.641276088763,11788.62463412015,11897.535093352764,12128.528551635807,11600.330118852868,12532.974253063663,12193.03318169274,11751.65449629115,13203.32515117499,11968.005954694278,11279.08377816189,11488.376466315254,11764.950969344352,13021.935264700973,11751.839045988454,11929.824270620513,11086.012730493445,11304.607191935247,12201.110236720808,11555.893634618544,11976.018718877467,11256.3141220867,12124.13676112124,11906.84676046261,10994.377870192116,11230.171018111105,11371.363121415134,12476.813072149667,11629.31375753673,11869.29386079274,11951.250043433363,11674.08580917553,12999.969535305088,10652.659654459709,11355.02110599904,12463.71085808684,11610.49600044523,11551.839739592862,10821.210419514437,10958.421860091854,11715.671190300547,12084.53863504885,11352.88274119023,12587.765711083975,12011.862982980763,12271.97641589797,11942.434794701572,11444.701002726151,11677.809763602152,12558.04712836842,10930.403387423412,11566.11269840732,12156.914859624389,11001.10554606948
-43.0,800,11585.739905398146,16632.668658627277,18575.37558486302,17936.26403101749,17210.04574683022,17678.431425737086,14848.089739259234,12890.32711771202,13301.4665250918,12639.812031666126,12582.876313941735,12152.704016871354,12304.308026414936,10931.253498440976,12552.690079549397,12194.834907901615,12225.985782986796,12480.70187872665,12719.477339819789,12292.21753873668,12359.314268536966,12738.203227754377,12782.390778524868,12362.103586867004,12283.080413035805,12334.437071661783,12283.2204726914,13358.051475032727,12190.246273695517,12122.515325911834,12112.719997624954,12603.83088027444,12212.074172761764,12274.99560704854,12043.101222242842,12564.88585728912,11923.488004321554,11674.777172581407,11667.515475644735,11962.478604608032,11657.773210983702,12048.070387645254,11465.05504302934,11468.15144607021,12063.026993397489,12415.633018361304,12199.3366711665,11828.561727696137,11910.159539259905,11888.854663752823,11540.119610952845,11554.449814450258,12175.628212275917,11674.029085032042,11862.074001766085,12242.501491147535,11842.71131672028,11420.598086479456,11466.615726024917,12026.942464328096,12112.880271882654,12192.195918771358,11884.784961396494
-42.0,800,12427.713876770187,16287.632489856214,18170.863638470862,18294.20115424597,17377.522179140524,18074.14760078003,16331.322330206232,14524.747882666225,14379.91286209441,12681.312749553572,12147.071238910008,11712.33512268155,12462.82438483983,11935.564825184363,11928.036351175946,12445.20805802631,12386.863461768517,13171.902669580795,12755.159872269478,12404.681745313768,13571.01636942159,12452.899951316447,11952.060838559815,11507.537258445756,11749.424066178824,11784.812820890793,12011.9261541762,12804.784102214431,12412.168882026292,11568.7736642562,12454.800056619062,11624.518818896517,11495.825334714518,11782.949403739123,11947.114373842503,12380.111978257575,12289.813277838804,11808.26509488299,12243.794558041944,11995.007868692452,12383.474886601862,12860.036806672417,12116.783573422228,12101.645699169894,11913.575453621768,12245.012201604392,11915.211487104882,12266.72303417175,11208.409991289704,11731.657030640949,11771.065229105876,12205.660342023986,12355.36139660887,11782.462639031932,11873.985220633927,12859.903458643646,11610.145305595528,11318.93064026961,11326.95738484207,11523.978277953842,12217.802944090416,12155.514250895576,11651.438999975828
-41.0,800,13034.80966047068,14600.72664152307,17613.406894196596,18494.66108682128,18721.665462784196,18309.10876249084,15781.87915851661,15476.954067439032,15075.625033504588,13394.893101172916,13056.756796810423,12465.976935740922,11390.045494426451,12315.600060959809,11937.562183904303,11754.036452945526,12106.150979914555,13131.590911695652,12887.524258444366,12915.104312364769,12889.918916303972,12019.250831247544,12565.956849596188,12013.289413239254,13228.929552530632,12367.345530070335,12079.172710088314,12746.748905348286,13104.244116212496,12933.044423079127,12159.256815706434,11755.263676079046,12310.888748996076,11356.596449599932,12292.590967989863,12474.421067166544,12253.136427178151,12133.865653275485,12732.26506443667,11686.618316873071,12147.223259957567,12502.31978779938,12017.69705740568,11442.185219949522,12400.435202218065,12717.063672528651,12121.070419135678,12231.820049370815,11819.37098945632,11401.596127535402,12520.600159838756,12053.173930463248,13276.064344512688,13065.56565559929,13459.436408907755,13260.402140976725,12239.408856039594,11788.17458897041,11754.704777173876,11985.884985935336,12003.870396873324,11573.340792616636,11345.858832509884
-40.0,800,12143.986293462454,14016.355427356106,17972.308710756184,16774.873061802144,18844.66590344437,18693.91358455782,17880.23995648875,17314.490431326143,15422.583313901978,14856.455824206538,13041.675017338814,12611.200703823364,12394.280505717425,12970.367557246776,12946.138295343608,12379.85062909209,12233.481720149852,12730.996546496475,13071.564953711666,12426.495511011237,13617.168386353966,13522.814188924536,12471.470578248409,12324.921649926871,11737.557973001152,11943.677607040176,12727.986256127895,12166.380184262543,11861.439038311217,11987.874555932383,12020.077723726936,12081.703049318983,12420.578232354665,12593.858291441653,11464.170626981708,11849.49545506086,12584.094812240724,12459.780352017202,11901.199401041107,13178.749872816226,11539.21547402217,12952.616462140157,12180.664663244006,11924.00325164198,12426.01798560629,12540.340500646116,11793.692567114536,12792.41256982299,11931.578099083124,12177.569872048623,11335.099302949662,11732.408162854115,12905.057094552169,12561.547455012456,12538.303424968744,11374.783748426104,11699.51632339607,11491.216743411547,12042.599505854369,12369.05138471401,11941.106261789611,11528.793166839389,12202.524839914862
-39.0,800,13477.71315844704,13886.555577844756,17104.264934448925,17649.73307554787,18982.47960471846,19499.587938613997,17215.72752374313,17385.18398867707,15788.35497451283,14510.65682848776,13030.068398490695,12528.866849605663,12935.04169742695,13010.290858279624,13288.282381107383,11670.316110582851,13540.424756581033,12829.906691100428,12114.079961019745,12521.766608127202,12923.859193144772,13006.703087572589,12518.73620201092,12303.339016813368,13001.145918768118,13190.776070945503,12377.736099406458,12053.752254825886,11852.827215025503,12119.817164034605,12073.433206805305,12653.926570323758,13400.786193532753,12178.32296522076,12284.696287301413,11884.717962283688,12991.012371581077,11818.026729192148,13257.04351947675,13059.335679681168,11839.952377942502,13340.343461227563,12010.185369721214,11893.311209971293,12200.733930232936,12075.51835923086,12455.498724111643,13212.263450882563,11478.363902269562,12351.592351461724,12358.867891833896,11136.22947150905,11516.37246320296,12155.872722339309,12758.795203878664,12397.862883892944,11871.736274432667,11735.52169085792,12282.123906136923,12549.130334178237,12457.061507728486,12287.376278005908,12078.177184776358
-38.0,800,13024.770874905533,13588.59142994215,16986.176312963522,15552.13299739546,18718.423057660155,18165.19745253181,18881.018965554336,18959.64722473469,16656.67004713507,15705.368687341215,13817.3142172033,13757.66326082453,12794.775813351853,11901.089729530991,12446.634207015972,12315.724074545831,13115.409712993242,13366.730974540404,12930.28672365049,13709.836551850454,14622.049680962044,13021.025937651511,12414.804307966477,12084.655584050868,12319.558607786134,12786.182586827375,13168.37596142766,12402.7968384693,12267.710783602182,12060.150954414265,12389.277314742569,12296.382376710324,12391.633991800489,12494.354854568826,12016.459949109778,12440.517868672534,12073.04576324041,12989.501251756155,12027.560467520068,11889.625706347091,12057.556506849847,12603.29549577452,13209.547414419569,12330.286667552764,12156.480234388597,11904.979512502012,12444.559475909373,13748.828569948002,12233.366654886511,12108.713431579148,12004.550068309189,11824.554265215576,12637.022750269283,11252.957421033783,12958.905550054602,12372.515112883984,11828.006459902756,12167.550030901411,12759.18229632896,11964.186185913011,12228.716182349484,12206.106162998987,11956.329386167085
-37.0,800,12983.010532353192,13085.77249809336,14523.034506661405,15037.037665972077,18005.58352721813,18007.678668808454,17920.56632258602,20324.112709892237,18825.099437978613,16950.76774263291,15708.78442273286,13835.067585046609,11902.090373325076,12598.567908658444,13217.637598095898,12418.136693931096,12938.653840334113,12290.22542094532,11699.01151579044,12911.895601035249,14316.220215987089,12880.980489304424,12826.195908697646,12531.503048321749,13304.089508934989,12164.765787418504,12612.47875982116,12871.68198774939,12556.535671546892,12590.924130968224,12067.10650692832,12197.496089589868,12330.00734086935,12001.857731577877,12369.30822441458,12686.87319497656,12561.439462872682,12956.19853291404,13025.927145630332,12961.552499359055,11956.014601096163,12819.862271680044,12466.933238881138,13067.50312736772,12547.278948419942,12050.346557983608,12484.5312859863,13980.424312024628,12367.256090982431,12577.62930088056,12656.571377075155,11977.525614779774,12467.306116736012,11506.31036866871,12955.773600507113,11559.876802902474,12135.789918236604,12245.249484876858,13616.88964021214,12539.811832359404,12964.979282447468,11560.146803265628,12573.162264722048
-36.0,800,12854.261661787934,12094.490624195016,14921.722719749392,14599.1755455935,17036.29763023401,17047.237333000758,19002.199231283583,21112.6666007718,18301.68895482854,17884.463954955492,16078.150174082426,14464.286806028682,12561.806011469922,13011.121143340712,11410.441195676032,11608.322256998694,12644.999061283932,13157.767224087442,11941.223825924104,13343.15739476441,14436.083811126562,13390.37888878091,12568.161563135143,12567.748281901791,12282.509096654108,13163.378021083709,13650.642181570118,12233.408079565332,13378.48649546535,13131.02304520204,13037.857375517484,12289.794734428442,12279.501713918518,13072.701707710488,12323.676016415176,12601.81634074114,12478.954808325994,13197.380684851898,13028.09621823902,12394.947107738582,12060.22706679646,12611.599111195505,12760.292880859954,13252.047600333435,12784.031970122627,13016.341929711243,13346.107781935249,13056.945369231886,12350.09626451819,12017.809003426575,11959.28958107395,12003.101971955028,12068.573854787046,13267.797278224529,12912.034862047944,11135.948169933028,12561.917728880346,11872.180611255306,13619.573030871852,12329.146346078134,12212.371747243113,10961.553740021563,12211.953530195353
