Angle,Power_Level,Beam_0,Beam_1,Beam_2,Beam_3,Beam_4,Beam_5,Beam_6,Beam_7,Beam_8,Beam_9,Beam_10,Beam_11,Beam_12,Beam_13,Beam_14,Beam_15,Beam_16,Beam_17,Beam_18,Beam_19,Beam_20,Beam_21,Beam_22,Beam_23,Beam_24,Beam_25,Beam_26,Beam_27,Beam_28,Beam_29,Beam_30,Beam_31,Beam_32,Beam_33,Beam_34,Beam_35,Beam_36,Beam_37,Beam_38,Beam_39,Beam_40,Beam_41,Beam_42,Beam_43,Beam_44,Beam_45,Beam_46,Beam_47,Beam_48,Beam_49,Beam_50,Beam_51,Beam_52,Beam_53,Beam_54,Beam_55,Beam_56,Beam_57,Beam_58,Beam_59,Beam_60,Beam_61,Beam_62
-45.0,56,13034.51995125096,13689.18305182894,12346.266361833555,12937.60932352054,13017.983260290166,13580.919434050777,12852.956030381294,12889.944280421058,13565.86872144217,11980.945553059842,13052.34755225834,12544.911323353494,12551.233610853464,13350.318473595513,12270.957724428425,12188.163043796498,12589.02391957394,12769.746862214772,12200.214237968785,12489.699496342955,12639.928536663983,13134.637915355132,12627.471091697344,12400.009765759636,12007.800236384064,12835.953336908133,12717.406727467876,12182.264319066417,12942.752130365086,12492.939581209628,12433.730370335372,12310.295072408591,12539.887622946071,12219.954057942825,12542.508533138409,12894.80751357365,12449.44886492419,12523.4640379678,12337.837656628486,11991.013508148626,12254.824944220343,12078.43613434359,11863.707675799076,12865.185322418212,12965.601822087392,12132.870217516269,12051.9988653647,11759.246478818382,11689.833372269097,12860.875593570763,12310.717732729205,12987.21377568704,12251.394326682846,12802.597270792092,12059.398589972938,12418.563614553086,12359.35427598137,11676.474994773143,12340.744998768248,12407.645385744469,12266.165664706416,12403.00860635352,12758.24396308857
-44.0,56,13726.349040472658,13193.535580808206,14094.89252559187,14210.314781424611,12877.100587542654,13447.397998094517,11724.812841553696,13447.83593101156,13186.815121660078,12820.131318003689,13104.901772306826,13838.269509896989,13362.022745631377,12768.957390387985,13341.755713697774,12899.946122463576,12867.316106166529,12630.565525225971,13202.997908477264,13347.867500731196,12366.4641385342,12920.236972837069,12314.146033957168,12358.573066132074,13363.895642910496,13119.481420365037,12726.499435593349,12780.237213228917,12430.653697474125,12703.924059219891,12622.974969667544,12636.865568328903,13165.94651512476,12964.44267330398,12937.327765282156,13020.991200662618,13245.46035034202,12843.98892720497,13068.834890448905,12608.43936664842,11681.342315233938,12830.75384445627,12651.46137214511,12771.92767077376,13375.902659063531,13449.60804694512,12868.01335427586,12681.103293993465,12320.027963291668,12169.62956729668,12836.869953652957,12166.648891911074,12544.32084874116,11827.929789561387,12716.671033628936,12261.658789456866,11809.759060071963,12953.63874320298,12405.189222951236,12954.887036676137,12814.7098401903,12421.099802464218,12457.138180617423
-43.0,56,13301.440598200636,13751.883889341232,13357.75335585805,13506.956951881057,14215.751158950285,13181.171592660128,12226.841481952451,12605.21066337417,12904.422036833392,13656.252250554324,12791.635201105231,13269.16616500614,12660.276722095785,12563.175843152552,13369.600611102886,13220.80092258572,13391.446652134422,13779.676271437344,12867.387921398253,12500.199231288325,12891.368216338898,14445.196281315468,12382.481026323294,12770.516506721506,12920.9908108313,12942.475449154688,13237.884332680622,11956.95417317896,12742.122767815188,13043.68642835209,13091.550729954008,13183.966407367132,12891.851547126287,13408.505133261358,12762.831603817163,13649.161419915,12837.052012721477,13297.704959754785,13451.80589385643,13023.852267899769,12871.315813401829,13107.112101019897,12982.335855212454,12382.1457696393,12996.018647583953,12417.921874656353,12619.610497790773,12788.033356125936,12511.55873741306,12380.686973986472,13020.357816929802,12404.816126087424,13088.060915592794,13003.91993506372,12475.673621742915,13199.4111610559,12275.239711439794,12335.804062393614,12862.988142519156,13135.435950160016,12679.461181030849,12340.069130049587,13240.320955811698
-42.0,56,14120.018550326597,13363.342641672569,14047.887343039516,13222.76981379273,13055.652527368797,13164.026314240158,12989.093094902755,13200.206329800956,12845.09604048487,12949.019330049745,12658.250611554544,13885.361550604512,13229.85272504162,12574.083126227191,13178.429313044278,12913.44669507561,12797.146711560745,12592.132473366964,13272.000644832546,13078.16903208449,12943.70012438448,13093.620087793315,13762.002059517004,12772.04883990956,12074.872373510436,12790.182710151525,12898.385827165432,13926.214955924814,12730.515402241632,12245.02418392267,13525.32177462476,12461.930357953432,12566.651190170249,12465.457791792493,12670.225798858082,13014.902522302444,12810.371265482372,13857.704913825586,12597.00538827646,13388.347339584132,13603.952179695703,12190.524081981835,12471.682482556433,13070.646571567117,13390.342994799355,13366.488109534615,12631.501533388784,12850.969604860356,13499.71393228626,12883.513998772543,13502.13217169259,13363.908661361438,11402.09175529862,13022.100584835143,13492.97530094836,13531.29188496647,12498.73242149334,12542.00401769725,13042.002635426135,13060.606684644235,13012.442923408402,12924.373075142546,11991.294725412896
-41.0,56,13157.044571469982,14599.229487989322,13884.358976453848,13743.604515870577,14648.770339342223,12706.433516478515,13591.419050401964,13890.925017762274,13066.76656162982,13563.574439153392,13257.580663253852,13575.0869462121,13742.827229458158,13387.21896655686,13393.827441897784,12322.176394498209,13799.723386101712,13934.388915880108,13729.535527874836,12534.398365669304,11857.914410329566,13273.734759908437,13181.290504197974,12439.09991153598,13224.22285846,13704.754117368018,12668.781455974751,12239.456999576523,13676.50670575559,12262.80980708188,12861.596153565744,12305.764363416538,13505.598158643785,13780.056117815147,12537.621992871513,13219.86926359562,12865.897795784598,13063.23109876891,14008.835425251737,13142.124764509275,12446.051660148263,13131.222542416735,13150.426648359724,12808.320340596856,13256.270329236184,12396.169132502362,13302.35831356802,12466.217412101494,12918.45475872631,13336.162966202985,13275.26911087551,12380.941339113744,13634.865294995296,13045.658667744578,12705.65697472318,11905.5204152076,13549.827475521604,12533.181717830395,12608.577552424818,11783.491459929985,12757.572721282024,13313.851427929578,12427.194675709949
-40.0,56,13420.373321448524,13500.310658551867,13267.663620065943,14624.523983456414,13718.592562764949,13869.14991595965,13251.002283423017,12922.560472324982,12737.00221778761,12850.955762650872,12901.297937660049,13489.296128428055,13043.669613582091,13159.15740915779,13360.190911425649,12794.589534432944,13138.27091038386,12606.381167259831,14147.403128014952,12800.875827225338,12892.117612663777,13151.92191616911,14227.332405779322,13182.380597917774,13576.957644337404,12876.719309236953,13498.333844716186,13594.446663209406,13267.477880974642,13024.338892935564,12876.014491727654,12552.91520825197,13757.005320191012,12584.409200395176,12129.471953212727,13087.82477007384,13526.444738858523,13460.41405176824,13401.20018672232,13612.870077198955,13234.811951954622,12594.50703636373,13578.712483527675,12928.961242393403,13646.337691681234,12834.333669470114,13417.889301054429,12102.731287202429,12807.891066917457,12302.131554165837,11786.190231449513,11737.22285683499,13284.897595380136,12436.9955584483,13132.70633834978,13619.32986052528,13154.906577369193,11945.483276967843,12360.081971319649,13542.77813821504,13493.431312261684,13411.785451974964,12665.850028065524
-39.0,56,13757.702062247748,13477.416901478604,13161.840641429444,14151.465759643545,14073.758999519234,13630.843904371408,14382.450030641368,12970.835890545692,14096.227331332018,12741.502383459774,13069.908693134084,12985.59890248608,12286.88640518296,12965.970917619725,13640.57413061697,13193.499220170032,12796.020319099976,12765.66208293846,13734.021146401616,13308.551189142108,12580.0838617572,13247.970422481652,13510.597608080316,12624.615857916411,12626.498838074593,12974.29820757747,13450.933271049902,13119.3663031168,12842.230501311822,13144.369315571928,13007.282580465166,13218.283157909344,13524.97807113717,13178.485986699136,12690.8680398798,12641.923831642369,12692.857223099209,12202.868726950004,13244.677825833256,13317.21327272562,13036.427973708853,12753.848026620975,12532.781920299209,13108.317307714991,13224.15118312747,12685.028749350342,12621.683202240114,12740.551874693572,12400.115470963405,12712.903680034538,13114.007869958754,11777.002398908517,12625.370843749131,12939.48238892622,12598.46322177033,13661.984069903903,12799.387528719124,13524.22630937192,12488.345316631989,12901.678660102809,12029.447399898036,12565.865866911065,12921.459236043593
-38.0,56,13079.704594282051,13035.740599106392,13458.04375963104,13350.803050250874,14513.058661586208,13217.24752315155,13849.135749090376,13850.02357810434,12339.134940628312,13256.08402979749,13030.02951320324,13685.885785990056,12764.421965967147,12940.633839481594,13912.970445514002,13623.9961528614,13742.802517813092,13344.393832799393,13145.978946905983,13356.188030476083,12936.257769266049,12938.747466030032,13485.527495867063,13464.162653191352,12500.141903133652,12900.148284765086,13079.52280902932,13218.076944605666,13347.04254487776,13082.412910929655,12369.367980394924,12980.057496501897,12735.7785826594,13451.075742972427,13971.68444664755,13437.958964690715,12944.579134214986,13329.399472238769,12819.912880964988,12853.69282649324,12661.807050771564,12902.04728655648,12392.709098054398,13000.329159664238,13114.03832834723,12526.155495582834,12330.314033075854,12706.293228283288,13060.224279941707,13505.484177399558,13797.84218356563,12087.049914118,12161.782395031763,13155.068462926316,12575.164949715743,13434.4818414067,12316.283115003194,12510.894895577412,12465.93914163093,12954.822357629651,12898.853342564944,12700.719727183665,12754.665707813134
-37.0,56,13671.442678174511,13344.970654602494,13140.68083518438,13682.009381472992,13765.620270962028,13757.695288972536,12726.71845433845,13219.375634054431,13719.584015563732,13447.080164874726,13096.662052817952,12930.286493661071,13215.506763083216,13406.613815864852,13363.932067879256,13227.44298285172,12809.968876185305,13395.47812208267,12432.306077081936,12872.210685226084,13701.039296765295,12872.004958775038,13233.933675061358,12920.294591444066,13058.162164365724,12932.581539348388,12671.75593744354,13337.611977561157,13617.180499038135,13010.705683074104,13711.610166022709,13207.861829061743,13585.21590295734,13185.286341401536,12818.944478556925,12549.414284246435,13055.563555124716,13144.498270992295,12834.929405756957,13044.731426435332,13618.663323831004,12305.830823222726,12912.351083876863,12962.33191371882,13103.976470835252,12520.934823778953,13302.192800761311,12901.03057079166,13017.298091638218,13333.382552908635,12982.527421368575,12495.197760523832,13229.22401253441,13105.452408027964,12985.283109105883,12769.123276801276,12282.052358042729,12911.616729348978,13874.472376926084,12486.000770678704,12410.75334606364,13376.160210368784,12871.694274406856
-36.0,56,13631.608247926382,14342.301678450394,13864.53444075642,13148.561656823747,14286.506624399151,13521.433201334876,13605.224911683032,13360.337840753164,12973.337730291172,13359.5810502054,12841.170832188996,12531.819051302851,12387.47323507279,12739.806982276066,13413.174607502548,12870.143284745132,14064.723940612548,13458.094882482748,12611.61246798911,13611.820262693866,13855.23292555617,13235.03363969201,13643.942062258711,13370.84110763599,13025.713098183216,13272.135561289257,13503.558934285524,12413.418230551366,13116.792033707809,11695.03398662004,13089.820139386817,12583.695791848955,12932.746532860385,12827.188636911063,12500.2401715703,12249.739742688802,12728.562584958843,12382.674185618998,12871.68000226287,13086.025784732796,12230.811306514965,12396.35867407135,12331.505742591971,12212.954125731265,13362.155824548514,12697.787751466214,12791.9933901643,12432.831903825618,12430.692924583353,12965.652248717855,13073.057944318516,12469.930189591088,12296.876048589864,13642.3546748637,13662.588450071808,12507.72751004199,12084.142259171307,12946.566030222895,12553.309635279496,13124.515606741756,13661.111275159234,12510.782010351397,13156.655285106748
