Power_Level,Angle,Beam_0,Beam_1,Beam_2,Beam_3,Beam_4,Beam_5,Beam_6,Beam_7,Beam_8,Beam_9,Beam_10,Beam_11,Beam_12,Beam_13,Beam_14,Beam_15,Beam_16,Beam_17,Beam_18,Beam_19,Beam_20,Beam_21,Beam_22,Beam_23,Beam_24,Beam_25,Beam_26,Beam_27,Beam_28,Beam_29,Beam_30,Beam_31,Beam_32,Beam_33,Beam_34,Beam_35,Beam_36,Beam_37,Beam_38,Beam_39,Beam_40,Beam_41,Beam_42,Beam_43,Beam_44,Beam_45,Beam_46,Beam_47,Beam_48,Beam_49,Beam_50,Beam_51,Beam_52,Beam_53,Beam_54,Beam_55,Beam_56,Beam_57,Beam_58,Beam_59,Beam_60,Beam_61,Beam_62
700,-45.0,16945.93612470506,30281.97095030652,30528.721951703108,31891.7815417286,23376.928642111885,26224.47555821059,18085.38144663282,16087.94855126886,15744.730797761218,16236.08751642159,16349.8352337689,18038.379638768725,16084.072179145202,14787.946245310086,18119.056485558613,15857.169199039512,17090.050256721086,18093.788224342403,16912.99596405746,15350.002638079362,16259.248968673546,15396.510093491954,18391.91525901835,16602.872580308078,16472.462895199405,16780.370297829155,15685.216070278651,17309.11933541143,16757.828478542047,15003.898160263923,14931.689266457515,16693.812347635823,15726.143014887026,15298.48622232005,15345.027817866663,16168.500527724837,16996.10290879819,16286.56497569044,16376.322478251692,15991.067754220056,16115.775264418418,16689.080055395534,15655.380483039027,14973.90858693395,17778.03487766288,16981.09024149632,15394.703534301314,14620.336318320877,15095.961559491045,15175.42036513504,14196.625403296017,15104.487461008835,15296.49802237255,15518.761591054914,15498.205082562195,15957.315940781837,16115.186510751631,15346.491691288737,15256.875112925458,15600.115427726938,16528.77078684998,16509.908017680707,15070.439255031662
700,-44.0,15239.69254388029,24712.89401552465,27774.140809152712,25791.183425958097,23537.406140286745,24918.37519709548,18349.35707181693,16148.635123613278,15654.4848874546,14986.938893708328,15235.858658818575,15466.952615693965,15609.01961202554,15093.509642370173,15428.223388254526,16116.140680858703,15652.7020256712,15261.389668375778,15607.108710980356,15192.888392101291,16233.452658696458,14056.539160345488,15593.979752037165,14979.931969734986,15458.80518712868,16439.042821727253,14706.055736257646,15622.623834294807,15317.177227903603,14803.756820684805,14378.456059322927,14571.468575073042,14959.802836406618,15246.299026983914,14675.265371369976,14533.048865919443,16874.01070647473,14268.446013627352,15898.301778828554,14795.704990132974,14791.161560532186,16198.344284605191,14829.239888698085,14581.254926547132,16918.926487458706,15150.293993400091,14437.839468576669,15133.41969502297,14213.27470733678,14822.807803253634,14556.509422645322,14718.71293274434,14875.89868026094,13734.107742145676,15892.241209813496,16182.538821139156,14561.340750774974,14616.22303285115,14337.207986607007,15321.36064579666,15962.292447428295,15653.446956267067,14116.434434448916
700,-43.0,15513.944106427927,20480.697352200943,24839.504554817348,25965.97230128567,23687.637089949243,24632.41151896586,18442.57772055223,17018.525537641384,15993.94657389154,15629.579162582882,14372.5750818157,15243.864180329132,14836.91564718238,14866.005763591984,15561.351746659577,15241.26529109222,15262.72452400272,15787.039244430583,15351.942418058745,14464.38791391539,15049.84721251011,14810.355645779884,15887.80819950904,14638.429852314855,15383.654377611563,15479.413887008484,15019.20451705997,14949.766357176804,14472.243571530518,13764.19668477996,14680.838290472377,14688.332744384648,15200.128410951853,14315.568430482706,14251.559222854175,14860.491318416196,14254.111269112382,15451.772802560075,14613.542355762536,14169.673268403969,14442.184251161449,14590.566377210296,14302.190686524662,14159.780965675469,15400.441016964713,14064.054826017738,14988.197289992935,14818.33764779505,13858.807087030556,14562.39173956018,14462.526779483676,14283.974707823523,14466.677299420426,14866.586419046143,14243.057663189076,14423.675301399904,14471.640445384324,14028.99318368062,14000.323430809713,14999.4512656291,14028.966212964258,14130.593502357731,14498.14320688092
700,-42.0,15127.43814744601,19004.831638028707,23440.984939531605,23112.71217471615,22733.65125093525,23365.840220725924,20358.99347921564,17601.419179624972,16709.51676421636,14939.646287680676,13968.137555531976,14458.194721564862,14421.062590833772,14862.163603085302,14097.154561212006,14400.229792403785,14778.292106578663,14488.812607166064,14360.474831880132,14490.423879173308,15462.274742314175,13014.187463647446,13843.784976051791,14950.87412813074,15139.943149548852,15044.725967440165,13947.086745455144,14784.505649391796,14597.31034069012,14232.493711698307,14195.416884280286,13386.33674111648,15138.968851813566,14467.38751943356,14396.078234426062,14338.863921697746,14734.620561257489,13571.426074429404,15113.738411534609,14469.796762821265,13909.638466232678,14299.939773052738,14486.90524688978,13573.28868755536,14306.452592030371,13646.695301125212,14905.565363917354,13866.661319811868,13744.745528446088,14094.098504518,14512.510966094396,13330.839633847716,14388.178604589002,13915.259151150603,14014.669507795445,14121.833862120597,13920.771444542856,13552.70009005376,14515.784623984297,14862.705377662438,13894.96113254008,13935.473620224691,13635.2009260309
700,-41.0,15707.414902156344,16693.593812721578,20798.617849238155,22563.94055265524,22011.686657165475,23447.551176180907,20114.604043876498,18659.481786151104,18868.18559549025,15506.096170234232,15150.3669791893,13421.310257851488,13513.258718556588,14545.093331982463,14303.463431448235,14840.624213777051,13847.74824157742,14727.92850709348,14951.01953567348,14099.608004917132,15354.745802751771,14869.760007326346,14009.297338031398,13913.07207485929,15252.538697585778,15192.979886623652,14924.2821961864,14575.411919918231,14432.675377214298,14448.499217879342,14153.800756213168,14747.136463181694,14292.430057387122,14447.206899873512,13730.133287807945,13935.983757335744,14031.502501082792,15177.480734281522,13995.173699585332,14052.120124371846,14376.941318183066,14909.428965852949,14432.805228396894,13677.989076321708,14587.36266086876,13884.584244281868,14608.392629752498,14833.047310148031,13188.095921025557,13999.37940554577,14142.716612776656,13699.11546718403,14015.48260451364,13591.475531793909,13818.139779862551,14429.97886864268,13494.419888632288,13885.890375639035,14042.657281535456,14375.637627009308,13391.16963525155,13708.691836793329,14036.844470837768
700,-40.0,14509.638266831222,16612.44014495706,19594.7615312668,20844.45028805615,21326.506655479017,22507.696300176576,19900.757249065544,19622.90108731328,18470.270378827256,16199.255266189832,13872.89997768844,14395.82316329494,14430.516803370265,13915.613205821874,14486.690639597586,12702.20388289918,13350.356482089555,13665.906603702788,15154.102099195865,14347.569103047155,14441.578202767534,14289.860448243757,13863.394955327536,15040.739796073354,14126.30991052996,14475.582806356211,14263.42305097394,13083.12002516258,12967.500420799894,13836.354222535549,14020.221428119134,13492.841782552774,13602.124645205196,13738.830060247205,13208.522547584722,12984.518877183926,13426.341367612711,13898.9223656631,14472.244566852443,14195.295016996268,14326.404452370853,14186.115681853988,13732.154404208772,13935.633643089568,14917.387217192376,13390.74340452516,13840.339589097504,14552.1426559949,14966.186262021116,13772.08388379412,13377.32101345379,13333.777671147584,13076.329307819457,14222.7526193042,14426.562423823976,13968.780585367134,13219.679290376847,13362.357955074123,13840.317567532556,13366.889551439052,13616.951409555904,13070.890223377315,13638.229595140125
700,-39.0,14462.138952656447,14838.024350770753,18658.663787305813,18943.841408146032,21373.29910086003,20546.80441169173,20756.45577150537,21035.214381809423,19401.418626052924,17473.39785881058,15471.108452546672,14975.547878101788,13879.45561087548,14629.07927474909,13924.80093146202,13907.76201068414,14234.592625437745,15135.803218313456,14122.225875956332,14862.765489114308,13992.772371460182,14753.50022034762,13624.801859532608,13742.986906942471,14778.907288097686,13841.947131419622,13718.74486199597,13845.854742483203,13573.903650092028,13873.807645889376,13947.178867070035,14421.390474991153,13947.508074511506,14011.882538571535,13168.550264594458,14374.934535764209,13823.56541787138,14303.456372519891,13591.277551195735,13352.773033342004,13904.002504928216,14752.604560075384,13215.975723885218,13884.308226016256,14130.593921670614,14549.134831070089,13821.890815130626,14504.633367694923,13282.457322079106,13505.949443865986,12898.2297189768,12976.29794050038,13504.20676897456,13631.093605023976,14181.72719380329,13733.489174681234,13145.479296103054,13224.404317204911,14034.075551375356,14453.65184783499,12758.90270755424,12293.451559390174,12925.957469204985
700,-38.0,14032.220153423072,14607.364910134307,18039.609543959945,17724.545778200954,20628.08679910178,20530.657898340887,20308.090021947704,19966.84611772546,19819.937358154373,17872.49151592089,14195.879260136388,14295.7250598905,13657.142770538045,13655.484137660847,13689.07373918688,12941.359908451092,14020.755356629408,14558.926946656902,13800.673052328904,14461.984117384223,14730.629280030971,14062.654317561295,14785.396871656076,13976.79996712368,14135.382248161935,13215.58396357916,14178.954378740904,13763.480454184795,14294.150925592898,13843.110904228985,14359.16361683244,13617.253843421917,13516.594433127948,12423.939934743572,13358.305131184758,14861.323920428436,13532.954330151517,13986.330833707838,13244.13172248174,13695.764097578742,12734.074904304738,13658.235540581942,13515.193820318946,13784.996857483526,13361.130602653036,13758.649195177142,13194.96046285252,14489.00821292293,13384.815511156776,13637.717936172028,13100.509060003598,12461.46284523636,13087.803893837616,13123.313980047944,13695.8599779731,14021.022440496276,13035.078721489055,12847.749193709218,13366.709962757974,13312.242832452896,13770.0464456076,13024.270296312874,13250.573203595475
700,-37.0,13610.41472579138,14556.068950342691,17001.40115792681,16359.358693669916,18354.42559177264,18764.743522093937,21028.00726658508,21507.21811714313,19887.72807598547,18923.31954979061,17367.43860339468,14777.431561766934,14045.2114269169,13611.881967957856,13737.328783574623,12808.824101088583,14435.640724384688,14450.335470068096,14269.186470387764,13370.769370985814,15022.44956457768,14467.044067499515,13853.561330620045,13725.509974775689,13654.304127799782,14077.058405849231,14396.268454144389,13156.077588240702,13497.566487880698,13505.723101556432,13748.466836551275,13508.002140702984,12882.164634400986,13201.724871753178,13377.911255570296,13682.780373485715,13506.803634447351,13059.13911515247,13802.112455579483,13002.4405091172,13648.543645166565,14492.955046526811,13509.739880754692,14066.503178669762,13443.62236137855,13184.609312596023,13270.555789555045,13597.775882111504,13529.284811973734,13169.206281471235,13043.687536599007,12946.903200778115,13343.08954700742,13973.048524671376,13482.209535707552,13027.630708596243,12664.651975542787,12773.712349152638,13974.748226604685,12722.454442422804,13652.341973159027,14043.95806227218,13257.27317282606
700,-36.0,13609.773070672054,13961.342440623905,15198.099434251424,15340.911415032708,18456.92486564568,17395.503526623535,19235.324090856506,20729.353588323043,19948.39702125927,21073.97737501794,17491.10392024024,16805.777877874047,14501.124296894042,14295.364047755442,13357.03872863164,14196.899726531406,14130.70972683969,13405.55142049857,14851.498261395403,13134.10059318698,14636.135226658764,14908.97782830898,13698.152181033583,13284.644725325004,13444.829029584324,14424.370036267615,14170.739137192591,12897.007524835455,13635.549978648738,14463.551334895858,12807.42119070713,13672.44061010198,12974.57056426922,13409.180978892551,13396.07699153708,13050.11093779164,13365.476915726766,14469.573848156582,13859.646621159767,14774.151243812674,13005.733545250934,13457.470326031556,13446.450962177536,14107.959398711277,13631.180733256682,13375.846289831594,13642.39353143766,13404.538412343896,13816.047137256364,13780.907481031558,13733.016856373077,13499.592254629348,13032.83488454859,13473.135283195968,14091.980689084116,13956.260888335535,12941.287723706331,13061.544798879884,13416.180845481447,12882.612259823378,13409.580136564122,12929.660190764364,12960.571640258851
